모범음식점 지정명단(반기보고),,,,,,,,,
,,,,,,,,,
연번,반기,시도,시군구,업태,주메뉴,업소명,주소,전화번호 ,비고
45,,제주특별자치도,제주시,뷔페식,꽃게짬뽕,덕성원삼화점,"제주특별자치도 제주시 건주로4길 6-4, 2층 (도련일동)",064-727-2402,
46,,제주특별자치도,제주시,한식,,덤장,제주특별자치도 제주시 용문로 48 (용담이동), 064- 713-0550,
47,,제주특별자치도,제주시,한식,,덤장삼계탕,"제주특별자치도 제주시 서해안로 500, 1~2층 (용담삼동)", 064- 743-0991,
48,,제주특별자치도,제주시,까페,,델문도,"제주특별자치도 제주시 조천읍 조함해안로 519-10, 1층",064-749-9493,
49,,제주특별자치도,제주시,식육(숯불구이),"돼지고기, 황소한마리",도남오거리외도점,제주특별자치도 제주시 우정로7길 26-3 (외도일동), 064- 743-9255,
50,,제주특별자치도,제주시,경양식,,도다모,"제주특별자치도 제주시 신설로11길 5, 1층 (아라이동)", 064- 752-5525,
51,,제주특별자치도,제주시,회집,생선회,도두,제주특별자치도 제주시 도두3길 48 (도두일동),064-746-1510,
52,,제주특별자치도,제주시,한식,"갈치국, 자리물회, 조림",도라지,제주특별자치도 제주시 연삼로 128 (오라삼동), 064- 722-3142,
53,,제주특별자치도,제주시,한식,,도래지,제주특별자치도 제주시 구좌읍 세화1길 27, 064- 784-3340,
54,,제주특별자치도,제주시,한식,,도치돌가든,제주특별자치도 제주시 애월읍 천덕로 440-1,064-799-1415,
55,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,돈돈촌,"제주특별자치도 제주시 천수동로 53, 1~2층 (건입동)",064-0723-5892,
56,,제주특별자치도,제주시,한식,해장국,돈마구이해장국,"제주특별자치도 제주시 삼동길 60, 1층 (연동)", 064- 744-4002,
57,,제주특별자치도,제주시,한식,,돈모리회관,"제주특별자치도 제주시 도남로 142, 2층 (이도이동, 범아빌딩)",064-0727-3434,
58,,제주특별자치도,제주시,한식,,돈모밀,제주특별자치도 제주시 오라로 124 (오라일동), 064- 725-0889,
59,,제주특별자치도,제주시,한식,돼지갈비,돈풍년,"제주특별자치도 제주시 승천로 52, 1층 (아라이동)",064 -713 -5252,
60,,제주특별자치도,제주시,식육(숯불구이),흑돼지 삼겹살,돈향기,제주특별자치도 제주시 관덕로15길 30 (건입동), 064- 724-0228,
61,,제주특별자치도,제주시,한식,"덜미살,등갈비소차돌된장찌개",돈황제,"제주특별자치도 제주시 애월읍 하귀동남1길 32-1, 1층",,
62,,제주특별자치도,제주시,식육(숯불구이),"삼겹살, 목살",돔베돈,제주특별자치도 제주시 관덕로15길 25 (건입동),064-753-0008,
63,,제주특별자치도,제주시,한식,추어탕,동이트는집신산점,제주특별자치도 제주시 신산로 69-1 (일도이동),,
64,,제주특별자치도,제주시,한식,추어탕,동이트는집신제주점,제주특별자치도 제주시 연동9길 13 (연동), 064- 758-2309,
65,,제주특별자치도,제주시,일식,뷔페,두끼떡볶이제주노형점,"제주특별자치도 제주시 연북로 48, 203호 (노형동)",064-711-2771,
66,,제주특별자치도,제주시,한식,샤브샤브,드렁몰라도새기샤브마을,"제주특별자치도 제주시 달마루길 22, 1~2층 (노형동)", 064- 772-8000,
67,,제주특별자치도,제주시,뷔페식,,땅꼬,"제주특별자치도 제주시 조천읍 조천18길 50-9, 1층", 064- 783-1080,
68,,제주특별자치도,제주시,중국식,자장면,래원,제주특별자치도 제주시 과원북4길 3 (노형동),064 -711 -8234,
69,,제주특별자치도,제주시,경양식,파스타,로니로티제주점,"제주특별자치도 제주시 고마로 115, 2층 (일도이동)", 064-0756-1700,
70,,제주특별자치도,제주시,기타,돼지구이,로또돼지,"제주특별자치도 제주시 용담로 16, 2~3층 (용담이동)",,
71,,제주특별자치도,제주시,경양식,,루스트플레이스베라체점,제주특별자치도 제주시 승천로 73 (아라이동), 064- 755-9004,
72,,제주특별자치도,제주시,경양식,"파스타,볶음밥",루스트플레이스제원점,"제주특별자치도 제주시 노연로 118-1, 2층 (연동, 미도스카이빌)",064-0747-9004,
73,,제주특별자치도,제주시,식육(숯불구이),,마리조아,"제주특별자치도 제주시 삼봉로 99, 1층 (도련일동)", 064- 756-5257,
74,,제주특별자치도,제주시,한식,정식,만배성,"제주특별자치도 제주시 아연로 484-9, 1~2층 (아라일동)", 064- 712-6800,
75,,제주특별자치도,제주시,복어취급,복어요리,만부정,제주특별자치도 제주시 사장길 38 (연동),0064-0743-1119,
76,,제주특별자치도,제주시,한식,"장어구이, 장어정식",만옥,제주특별자치도 제주시 중앙로2길 1 (건입동),064-0751-1443,
77,,제주특별자치도,제주시,한식,민물장어,만운성,제주특별자치도 제주시 과원북4길 93 (연동), 064- 747-5797,
78,,제주특별자치도,제주시,식육(숯불구이),"말고기, 흑돼지",말이랑흑도새기랑,제주특별자치도 제주시 축산마을북길 1 (노형동), 064- 744-7031,
79,,제주특별자치도,제주시,한식,양념갈비,맛있는소리,"제주특별자치도 제주시 진동로 6, 1층 (화북일동)",064-758-9298,
80,,제주특별자치도,제주시,한식,,명가부대찌개이도점,제주특별자치도 제주시 연북로 599 (이도이동),064-0759-0058,
81,,제주특별자치도,제주시,한식,장어구이,명가천지연무태장어,"제주특별자치도 제주시 아연로 438-22, 1층 (오등동)", 064- 747-8300,
82,,제주특별자치도,제주시,한식,"쥐치조림, 고등어, 갈치조림",명물,"제주특별자치도 제주시 탑동로11길 2-1, 1~2층 (삼도이동)", 064- 723-5233,
83,,제주특별자치도,제주시,한식,국수,명품국수네집,"제주특별자치도 제주시 삼성로 57, 1층 (일도이동)", 064- 723-5950,
84,,제주특별자치도,제주시,한식,웰빙보양칼국수,모메존,제주특별자치도 제주시 도두3길 17 (도두일동), 017- 693-1275,
85,,제주특별자치도,제주시,한식,해장국,모이세본점,"제주특별자치도 제주시 연북로 221, 1층 (오라이동)",,
86,,제주특별자치도,제주시,한식,해장국,모이세해장국노형점,"제주특별자치도 제주시 월랑로 61, 1층 (노형동)",064-745-5253,
87,,제주특별자치도,제주시,한식,"제주밥상,들깨칼국수",문동일셰프녹차고을,"제주특별자치도 제주시 애월읍 하귀동남4길 13-1, 1층",064-712-1780,
88,,제주특별자치도,제주시,한식,,물항식당본점,제주특별자치도 제주시 임항로 37-4 (건입동), 064-755 -2731,
89,,제주특별자치도,제주시,한식,"성게국, 전골",미래컨벤션라메르,제주특별자치도 제주시 남성로 75 (용담일동), 064- 751-3838,
90,,제주특별자치도,제주시,한식,,미미설렁탕연북로점,"제주특별자치도 제주시 연북로 201, 2층 (오라이동)", 064- 720-9696,
91,,제주특별자치도,제주시,한식,장어구이,미선주물럭,제주특별자치도 제주시 과원북4길 89 (연동),,
92,,제주특별자치도,제주시,한식,쇠고기해장국,미원,제주특별자치도 제주시 원노형6길 10 (노형동), 064- 742-1289,
93,,제주특별자치도,제주시,한식,,미풍해장국아라점,"제주특별자치도 제주시 아란7길 26, 1층 (아라일동)",064-751-0099,
94,,제주특별자치도,제주시,기타,돈까스,밀라네사,"제주특별자치도 제주시 매촌2길 78, 1층 (도련일동)",,
95,,제주특별자치도,제주시,한식,"갈치조림, 물회",바다예찬,"제주특별자치도 제주시 귀아랑길 26, 1층 (연동)", 064- 749-0092,
96,,제주특별자치도,제주시,한식,갈치조림,바다잔치,제주특별자치도 제주시 탑동로 79 (삼도이동), 064- 702-8989,
97,,제주특별자치도,제주시,회집,,바다풍경,제주특별자치도 제주시 서해안로 654 (용담삼동),064-0711-7992,
98,,제주특별자치도,제주시,회집,"갈치,고등어어조림, 뚝배기",바당동네,제주특별자치도 제주시 월성로 26 (용담이동), 064- 743-0330,
99,,제주특별자치도,제주시,한식,해물탕,반딧불한담,"제주특별자치도 제주시 애월읍 애월로1길 24-11, 1층",,
100,,제주특별자치도,제주시,한식,"비빔밥, 녹차들깨수제비",밥이보약,제주특별자치도 제주시 도령로 11 (노형동), 064- 744-7782,
101,,제주특별자치도,제주시,뷔페식,"한정식,구이",별오름노형점,"제주특별자치도 제주시 1100로 3213-27, B201호 (노형동)",064-745-9289,
102,,제주특별자치도,제주시,한식,우삼겹,본가제주아라점,"제주특별자치도 제주시 간월동로 6, 1층 (아라이동)", 064- 727-9006,
103,,제주특별자치도,제주시,한식,우삼겹,본가제주연동점,제주특별자치도 제주시 연북로 86 (연동), 064- 747-9966,
104,,제주특별자치도,제주시,한식,,봉평메밀촌,"제주특별자치도 제주시 남광북5길 12, 101호 (이도이동)",064-752-8839,
105,,제주특별자치도,제주시,탕류(보신용),"한우등심, 흑돼지, 삼계탕",비원,제주특별자치도 제주시 수목원길 3-1 (노형동), 064- 744-1919,
106,,제주특별자치도,제주시,한식,삼계탕,사계향,제주특별자치도 제주시 서광로 98 (오라삼동), 064- 743-1118,
107,,제주특별자치도,제주시,한식,해물탕,사랑담은해물,"제주특별자치도 제주시 신대로6길 29, 101호 (연동, 우성빌라)", 064-747 -0052,
108,,제주특별자치도,제주시,회집,"활어회, 고등어회",사형제,"제주특별자치도 제주시 한림읍 한림상로 273, 1층", 064- 796-8709,
109,,제주특별자치도,제주시,한식,"갈치회, 고등어회, 성게국, 갈치국, 조림류",산지로,제주특별자치도 제주시 정존15길 27 (노형동), 064- 747-1889,
110,,제주특별자치도,제주시,한식,"조림, 물회",산지물신제주점,제주특별자치도 제주시 신대로10길 53 (연동), 064- 721-5659,
111,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,삼다향,제주특별자치도 제주시 일주동로 242 (화북일동), 064- 722-3366,
112,,제주특별자치도,제주시,한식,"고기국수, 국밥",삼대국수회관노형점,"제주특별자치도 제주시 노형13길 11, 101호 (노형동)", 064- 747-9493,
113,,제주특별자치도,제주시,한식,"고기국수, 비빔국수",삼대국수회관신제주점,제주특별자치도 제주시 신대로20길 32 (연동), 064- 742-8820,
114,,제주특별자치도,제주시,회집,"생선회, 매운탕",삼미횟집,제주특별자치도 제주시 도두항서5길 1 (도두일동), 064- 756-6060,
115,,제주특별자치도,제주시,한식,삼계탕,삼양장원,"제주특별자치도 제주시 일주동로 394, 1층 (삼양이동)",,
116,,제주특별자치도,제주시,회집,돼지양념갈비,삼춘이야기,제주특별자치도 제주시 우정로12길 1 (외도일동), 064- 722-5552,
117,,제주특별자치도,제주시,식육(숯불구이),소고기구이,생고기제작소탑동점,"제주특별자치도 제주시 북성로 4, 1층 (삼도이동)", 064- 901-4994,
118,,제주특별자치도,제주시,한식,샤브샤브,샤브향신제주점,"제주특별자치도 제주시 월랑로 30 (노형동, 제1호)", 064- 747-5158,
119,,제주특별자치도,제주시,한식,오분작뚝배기,서귀포진주식당연동점,"제주특별자치도 제주시 과원로 84, 1~2층 (연동)", 064- 782-8818,
120,,제주특별자치도,제주시,기타,"생구이, 양념구이",서우봉가든,제주특별자치도 제주시 조천읍 함대로 78, 064- 712-4550,
121,,제주특별자치도,제주시,한식,뚝배기,서울뚝배기,제주특별자치도 제주시 아연로 10 (연동), 064- 783-8170,
122,,제주특별자치도,제주시,한식,돼지갈비,서울식당,제주특별자치도 제주시 조천읍 함덕13길 5, 064- 726-0011,
123,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,서흘포가든,제주특별자치도 제주시 선사로6길 12 (삼양일동),,
124,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,서흘포가든서사라점,"제주특별자치도 제주시 서사로 175, 1층 (오라일동)",064-742-4333,
125,,제주특별자치도,제주시,뷔페식,,섬채,"제주특별자치도 제주시 오라로 61, 2층 (오라이동)", 064- 742-2929,
126,,제주특별자치도,제주시,회집,생선회,섬횟집,"제주특별자치도 제주시 서해안로 242, 1층 (도두일동)",,
127,,제주특별자치도,제주시,한식,김치찌개,세화그때그집,"제주특별자치도 제주시 구좌읍 세평항로 43, 1층", 064- 758-9273,
128,,제주특별자치도,제주시,회집,,소라,"제주특별자치도 제주시 서부두길 18-2, 1~3층 (건입동)",064-0784-3378,
129,,제주특별자치도,제주시,한식,,손맛촌,제주특별자치도 제주시 조천읍 비자림로 661,0064-0757-1419,
130,,제주특별자치도,제주시,한식,삼계탕,솔바위,제주특별자치도 제주시 가령골1길 1 (이도이동),064-0727-9289,
131,,제주특별자치도,제주시,식육(숯불구이),"쇠갈비, 돼지갈비",송백,제주특별자치도 제주시 연삼로 437 (이도이동), 064- 724-6768,
132,,제주특별자치도,제주시,일식,"생선회, 생선초밥, 생선지리",송촌,제주특별자치도 제주시 연신로 29 (일도이동),,
133,,제주특별자치도,제주시,한식,생선조림,수미정,"제주특별자치도 제주시 조천읍 함대로 16, 1층", 064- 746-6656,
134,,제주특별자치도,제주시,한식,"문어라면, 문어튀김",순정문어,"제주특별자치도 제주시 서해안로 579, 1층 (용담삼동)",064 -727 -3777,
135,,제주특별자치도,제주시,일식,,순조은참치,제주특별자치도 제주시 고마로 148 (이도이동), 064- 721-9944,
136,,제주특별자치도,제주시,한식,,순풍해장국,제주특별자치도 제주시 일주동로 355 (삼양이동), 064- 742-8988,
137,,제주특별자치도,제주시,회집,생선회,숨비소리,제주특별자치도 제주시 서해안로 283 (도두이동),,
138,,제주특별자치도,제주시,일식,초밥,숲속바다,"제주특별자치도 제주시 은수길 65, D동 1층 (연동)", 064- 751-3737,
139,,제주특별자치도,제주시,한식,참치요리,스시날,"제주특별자치도 제주시 월랑로10길 1, 1층 (노형동)", 064- 726-9696,
140,,제주특별자치도,제주시,일식,,스시앤,"제주특별자치도 제주시 고산동산5길 21-1, 105호 (이도이동)",,
141,,제주특별자치도,제주시,일식,"초밥, 생선회",스시홍삼,"제주특별자치도 제주시 고산동산5길 3-4, 1~2층 (이도이동)", 064- 747-4600,
142,,제주특별자치도,제주시,뷔페식,소고기샤브샤브,스푼더마켓제주점,"제주특별자치도 제주시 연북로 76, 2층 (연동)",0064-0753-6600,
143,,제주특별자치도,제주시,회집,"오분작뚝배기, 활어",신제일,제주특별자치도 제주시 탑동로 39 (삼도이동), 064- 712-2324,
144,,제주특별자치도,제주시,일식,"생선회, 초밥",신제주그랜드,제주특별자치도 제주시 신대로 70 (연동), 064- 721-8803,
145,,제주특별자치도,제주시,한식,,신현대,제주특별자치도 제주시 임항로 40 (건입동), 064- 712-6699,
146,,제주특별자치도,제주시,한식,정식,신화성,제주특별자치도 제주시 어영길 42 (용담삼동), 064- 711-4544,
147,,제주특별자치도,제주시,식육(숯불구이),"갈비찜, 냉면",쌍봉냉면연동점,"제주특별자치도 제주시 연북로 60, 1층 (연동)",064 -751 -1997,
148,,제주특별자치도,제주시,경양식,뷔페,씨제이푸드빌(주)빕스연동제주점,제주특별자치도 제주시 연삼로 2 (연동), 064- 751-2266,
149,,제주특별자치도,제주시,식육(숯불구이),한우모둠,아라미당한우전문점,"제주특별자치도 제주시 아연로 595, 1~2층 (아라일동)",064-702-3339,
150,,제주특별자치도,제주시,한식,성게국,아라캐슬웨딩홀구내,"제주특별자치도 제주시 중앙로 504, 2층 (아라일동)", 064- 784-9100,
151,,제주특별자치도,제주시,한식,토종닭,아름,제주특별자치도 제주시 조천읍 교래3길 24, 064- 742-3430,
152,,제주특별자치도,제주시,일식,회. 초밥,아사히,제주특별자치도 제주시 과원북4길 85 (연동), 064- 722-5161,
153,,제주특별자치도,제주시,중국식,자장면,아주,제주특별자치도 제주시 관덕로13길 4 (일도일동), 064- 783-0668,
154,,제주특별자치도,제주시,한식,토종닭,안다미로,제주특별자치도 제주시 조천읍 비자림로 648, 064- 749-2461,
155,,제주특별자치도,제주시,탕류(보신용),흑미전복삼계탕,양촌리마을,제주특별자치도 제주시 진군길 31-5 (노형동), 064- 746-3663,
156,,제주특별자치도,제주시,한식,양푼왕갈비,양푼왕갈비,제주특별자치도 제주시 선덕로 14 (연동), 064- 749-0081,
157,,제주특별자치도,제주시,일식,통갈치조림,어가,"제주특별자치도 제주시 1100로 3213-8, 지하2층 (노형동)", 064- 727-7999,
158,,제주특별자치도,제주시,회집,"생선회, 초밥",어림향,"제주특별자치도 제주시 서사로24길 22, 1층 (삼도일동)",064-0743-9700,
159,,제주특별자치도,제주시,회집,,어영해녀촌원,"제주특별자치도 제주시 월성로 18, 2층 (용담이동)", 064- 743-5131,
160,,제주특별자치도,제주시,한식,전복요리,어우늘,"제주특별자치도 제주시 연북로 222, 1층 (오라이동)", 064- 744-2258,
161,,제주특별자치도,제주시,한식,갈치조림,어장군,제주특별자치도 제주시 신대로 72 (연동), 064- 711-2227,
162,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,연동박가네,제주특별자치도 제주시 삼무로9길 15 (연동), 064- 784-8856,
163,,제주특별자치도,제주시,회집,,연미정,제주특별자치도 제주시 구좌읍 세평항로 14, 064- 712-5646,
164,,제주특별자치도,제주시,한식,,연우네,제주특별자치도 제주시 은수길 110 (노형동), 064- 726-4955,
165,,제주특별자치도,제주시,한식,갈비,영월,제주특별자치도 제주시 오남로 42-4 (오라일동),,
166,,제주특별자치도,제주시,한식,말고기요리,영주말가든,"제주특별자치도 제주시 연북로 196, 1층 (오라이동)",,
167,,제주특별자치도,제주시,한식,설렁탕,예산가마솥장수촌설렁탕연동점,제주특별자치도 제주시 은남길 25 (연동), 064- 746-3112,
168,,제주특별자치도,제주시,회집,두루치기,예향정제주,"제주특별자치도 제주시 신설로11길 2-9, 1층 (아라이동)",,
169,,제주특별자치도,제주시,한식,옥돔구이,옛집2,제주특별자치도 제주시 구좌읍 비자림로 1220,,
170,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,오도가든,"제주특별자치도 제주시 오광로6길 3, 1층 (이호이동)", 064- 744-2545,
171,,제주특별자치도,제주시,한식,"한정식, 샤브샤브",오라숲소리,제주특별자치도 제주시 오라로 80 (오라이동), 064- 784-2277,
172,,제주특별자치도,제주시,한식,칼국수 등,오름나그네,제주특별자치도 제주시 조천읍 선교로 525, 064- 743-5262,
173,,제주특별자치도,제주시,한식,"오리탕,오리백숙, 오리불고기",오리정,제주특별자치도 제주시 수덕3길 4 (노형동),,
174,,제주특별자치도,제주시,일식,초밥,오사카키친,"제주특별자치도 제주시 1100로 3228, 비동 1층 (노형동)", 064- 722-2585,
175,,제주특별자치도,제주시,한식,,오젠정식,"제주특별자치도 제주시 명림로 220, 1층 (봉개동)",0064-0711-1259,
176,,제주특별자치도,제주시,회집,생선회,올래어촌,제주특별자치도 제주시 테우해안로 166 (이호일동), 064- 796-3146,
177,,제주특별자치도,제주시,한식,"흑돼지구이, 삼계탕",옹포별장가든,제주특별자치도 제주시 한림읍 한림상로 24,064 -748 -4343,
178,,제주특별자치도,제주시,한식,말요리코스,외양간,제주특별자치도 제주시 선덕로5길 13 (연동), 064- 721-5149,
179,,제주특별자치도,제주시,회집,생선회,용운,제주특별자치도 제주시 흥운길 91 (용담이동), 064- 782-5204,
180,,제주특별자치도,제주시,한식,"생선회, 매운탕",우도밥상,제주특별자치도 제주시 우도면 우도해안길 170,064 -748 -0748,
181,,제주특별자치도,제주시,일식,"초밥, 지리, 생선회",우림,제주특별자치도 제주시 도령로 28-2 (노형동),0064-0757-4202,
182,,제주특별자치도,제주시,회집,생선회,우정횟집,제주특별자치도 제주시 서부두길 16 (건입동), 064- 725-2525,
183,,제주특별자치도,제주시,한식,"오리, 토종닭, 샤브샤브",원당골,제주특별자치도 제주시 원당로 72 (삼양일동), 064- 726-4700,
184,,제주특별자치도,제주시,한식,조림,월라촌,제주특별자치도 제주시 오남로 66 (오라일동), 064- 748-0890,
185,,제주특별자치도,제주시,한식,"갈치조림,몸국",유리네,제주특별자치도 제주시 연북로 146 (연동), 064- 772-3701,
186,,제주특별자치도,제주시,한식,한식뷔페,유연,제주특별자치도 제주시 한경면 녹차분재로 685-21,0064-0725-3337,
187,,제주특별자치도,제주시,한식,"갈비탕,갈비찜",육갑봉,제주특별자치도 제주시 신설로11길 2-9 (아라이동),,
188,,제주특별자치도,제주시,한식,감자탕,육장갈비제주본점,제주특별자치도 제주시 승천로 2 (이도이동), 070-8147-7006,
189,,제주특별자치도,제주시,식육(숯불구이),,으뜸정육식당,"제주특별자치도 제주시 아연로 114, 2층 (오라이동)", 064- 724-3521,
190,,제주특별자치도,제주시,회집,"생선회, 지리",은성,제주특별자치도 제주시 동한두기길 35-1 (용담일동), 064- 743-5237,
191,,제주특별자치도,제주시,한식,"장어구이, 은어튀김",은어의집,제주특별자치도 제주시 우정로5길 27 (외도일동), 064- 711-5820,
192,,제주특별자치도,제주시,한식,해장국,은희네해장국노형점,"제주특별자치도 제주시 원노형로 40, 1층 (노형동)", 064- 726-2009,
193,,제주특별자치도,제주시,한식,"전복죽, 전복회, 구이",이가전복,제주특별자치도 제주시 무근성길 6 (삼도이동), 064- 711-8866,
194,,제주특별자치도,제주시,한식,"갈치조림, 고등어조림",이금돈지,제주특별자치도 제주시 노연로 143 (연동),,
195,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,이도숯불갈비,"제주특별자치도 제주시 구남로6길 23, 1층 (이도이동)",064-0723-6427,
196,,제주특별자치도,제주시,경양식,,이돈갓시청점,"제주특별자치도 제주시 광양14길 9, 3층 (이도이동)",064 -742 -8484,
197,,제주특별자치도,제주시,회집,"생선회, 조림, 매운탕",이만석군횟집,제주특별자치도 제주시 도두항서길 26 (도두일동), 064- 759-5050,
198,,제주특별자치도,제주시,중국식,이비가짬뽕,이비가짬뽕오라점,제주특별자치도 제주시 오남로 11 (오라일동), 064- 749-3933,
199,,제주특별자치도,제주시,중국식,"짬뽕,탕수육",이비가짬뽕제주1호이호점,"제주특별자치도 제주시 도공로 154-7, 1층 (이호이동)", 064- 753-2487,
